CATEGORY,,INDEPENDENT VARIABLES,,,,,,,DEPENDENT VARIABLES,,,,
Dates,Entity ID,Log Board_Size,PCT_IND_DIR,PCT_Women_On_Board,CEO_DUALITY,Log_Audit_Comm,BOARD_AVERAGE_TENURE,EQY_INST_PCT_SH_OUT,TOT_DEBT_TO_TOT_EQY,RETURN_ON_ASSET,RETURN_COM_EQY,EPS_GROWTH,TOBIN_Q_RATIO
4,7,2.398,0.818,0.182,0,1.098612289,8.69,1.07595,1.340127,0.029415,0.101326,0.266212,0.015776
5,7,2.398,0.818,0.364,0,1.098612289,6.86,1.01417,1.525195,0.025109,0.091765,-0.107817,0.017463
6,7,2.398,0.818,0.364,0,1.098612289,7.86,1.0091,1.615761,0.039541,0.153274,0.673716,0.013904
7,7,2.398,0.818,0.364,0,1.098612289,8.35,1.02006,1.659322,0.022342,0.085334,-0.425993,0.015453
8,7,2.398,0.818,0.364,1,1.098612289,9.35,1.06713,1.755508,0.036457,0.141882,0.701258,0.011843
1,8,2.398,0.909,0.091,0,1.386294361,10.72,1.00311,1.605735,0.058876,0.220064,0.115646,0.018028
2,8,2.303,0.9,0.2,0,1.386294361,6.8,1.03586,1.243867,0.052481,0.199741,0.042683,0.017056
3,8,2.485,0.917,0.25,0,1.609437912,6.67,1.00746,0.697165,0.061971,0.19557,0.204678,0.019035
4,8,2.398,0.909,0.273,0,1.609437912,5.42,1.04839,0.618608,0.084466,0.23488,0.519417,0.016355
5,8,2.398,0.909,0.273,0,1.609437912,6.15,0.98905,0.648188,0.086488,0.229577,0.220447,0.018819
6,8,2.485,0.917,0.25,0,1.609437912,6.62,1.01464,0.561511,0.043929,0.112987,-0.413613,0.017743
7,8,2.303,0.9,0.3,0,1.609437912,5.78,1.06333,0.460363,0.091571,0.23536,1.446429,0.0225
8,8,2.398,0.909,0.273,0,1.609437912,5.24,1.04819,0.416393,0.066094,0.171825,-0.20438,0.01784
1,9,2.485,0.833,0.083,0,1.386294361,11.93,1.15123,1.713864,0.070612,0.249274,0.593407,0.021422
2,9,2.485,0.833,0.083,0,1.386294361,11.6,1.10436,1.610554,0.016003,0.047404,-0.344828,0.020464
3,9,2.398,0.909,0.091,0,1.386294361,12.24,1.11512,1.309629,0.01621,0.04242,0.063158,0.020677
4,9,2.485,0.833,0.167,0,1.386294361,12.22,1.23181,1.441708,0.019141,0.049393,0.217822,0.020732
5,9,2.485,0.833,0.167,0,1.386294361,13.22,1.0658,2.281533,0.024151,0.079638,0.463415,0.023078
6,9,2.708,0.867,0.2,0,1.791759469,11.4,1.06661,2.686502,0.027349,0.10918,0.311111,0.025257
7,9,2.485,0.833,0.25,0,1.609437912,9.99,1.07788,3.270647,0.028172,0.123709,0.135829,0.031036
8,9,2.303,0.8,0.3,0,1.386294361,8.68,0.97401,3.753524,0.04297,0.213281,0.44373,0.023176
1,10,2.197,0.889,0.111,0,1.386294361,8.19,1.06098,1.270189,0.047085,0.126331,6.590129,0.011837
2,10,2.197,0.889,0.111,0,1.386294361,8.73,1.04784,1.177022,0.002975,-0.002133,0,0.014561
3,10,2.303,0.9,0.2,0,1.609437912,8.78,1.0044,1.23652,0.01864,0.040454,0,0.014327
4,10,2.079,0.875,0.125,0,1.386294361,10.06,1.20061,1.103587,0.019942,0.048401,0.232143,0.012005
5,10,2.079,0.875,0.125,0,1.386294361,11.06,1.0331,1.057553,0.051047,0.117445,1.492754,0.014186
6,10,2.197,0.889,0.222,0,1.386294361,10.75,1.09604,1.231814,0.024554,0.058308,-0.505814,0.013102
7,10,2.303,0.9,0.2,0,1.609437912,10.66,1.1374,1.366795,0.018356,0.046618,-0.235294,0.013564
8,10,2.303,0.9,0.2,0,1.609437912,10.34,1.15082,1.293409,0.040618,0.104722,0.969231,0.0129
1,12,2.303,0.8,0.1,1,1.386294361,16.27,1.0637,0.916705,0.041272,0.085563,-0.224924,0.016637
2,12,2.303,0.8,0.1,1,1.098612289,17.27,1.17367,0.781881,0.135892,0.271724,0.886275,0.017473
3,12,2.303,0.8,0.3,1,1.386294361,13.87,1.01953,0.618931,0.032195,0.059552,-0.555094,0.018587
4,12,2.303,0.8,0.3,1,1.386294361,14.87,1.00191,0.675321,0.025195,0.045283,-0.238318,0.018134
5,12,2.303,0.8,0.3,1,1.386294361,15.87,0.95498,0.685923,0.033871,0.06266,0.368098,0.020262
6,12,2.303,0.8,0.3,1,1.386294361,15.37,1.00267,0.904179,0.017768,0.034961,-0.443946,0.019048
7,12,2.303,0.8,0.3,1,1.098612289,16.37,0.9776,0.74547,0.040052,0.079389,1.395161,0.028355
8,12,2.303,0.8,0.3,1,1.098612289,15.67,1.01337,0.729557,0.075542,0.142336,1.043771,0.017685
